"NO_PROPERTY","COUNT_OF_LES"
152027984,3
198045666,3
385096746,3
434002452,3
530002184,3
547030598,3
583076707,3
583130901,3
598059193,3
601046488,3
640045152,3
831040402,3
831201289,3
148093771,3
385080350,3
583079934,3
658002025,3
148061235,3
602002273,3
658002098,3
703021585,3
831032617,3
385094020,3
434003747,3
583129516,3
596002655,3
703044113,3
831020048,3
831057785,3
831062652,3
303003960,3
598229755,3
831063549,3
831077550,3
831093656,3
123002259,3
831062109,3
230002011,3
535002235,3
601021691,3
152035715,3
596002501,3
385094557,3
601047256,3
602002105,3
831156390,3
121011746,3
148325147,3
270002062,3
535002467,3
831117609,3
831082003,3
658002111,3
831043593,3
547119054,3
596002539,3
599002878,3
703048712,3
831021296,3
831063027,3
152017474,3
225002206,3
598170008,3
598184995,3
599002983,3
601066298,3
602002202,3
703018722,3
831026455,3
831026462,3
225002560,3
601105648,3
908011857,3
969002557,3
406004401,3
583047959,3
703043305,3
831055209,3
215079980,3
225002358,3
270002052,3
385087142,3
790002089,3
831145457,3
831175367,3
385054808,3
522002056,3
640034099,3
677002074,3
792002032,3
225002587,3
152007302,3
602002081,3
703062482,3
602002058,3
831062099,3
522002014,3
831175271,3
601008427,3
831064207,3
831095097,3
225002207,3
831047113,3
831056077,3
831062573,3
831075940,3
908014287,3
905002261,3
385042005,3
434002795,3
535002464,3
650413573,3
792002054,3
831035177,3
198017184,3
536087096,3
583078529,3
650056774,3
831018399,3
831063869,3
831166933,3
999002004,3
191021936,3
385019637,3
599002989,3
601073521,3
831187034,3
831063145,3
831125770,3
385010814,3
583084471,3
599002855,3
602002264,3
658002032,3
198047480,3
583059534,3
598028194,3
658002033,3
434003111,3
703050824,3
385048529,3
385057177,3
831045033,3
547009000,3
688002615,3
385086994,3
583026378,3
148006330,3
535002515,3
596002562,3
650241210,3
831243634,3
8002104,3
536044625,3
596002640,3
601068148,3
601073041,3
698002567,3
823267486,3
831097005,3
831064452,3
831062310,3
831064161,3
831061653,3
121267186,3
148237432,3
536027734,3
658002030,3
781002259,3
831047828,3
831062021,3
908041188,3
198046856,3
510058845,3
547105123,3
831045341,3
908018905,3
385012742,3
598266643,3
823181918,3
831142288,3
831062068,3
434002993,3
547086678,3
608002154,3
831176197,3
831061769,3
831062474,3
163002078,3
522002041,3
831224229,3
831064685,3
152023424,3
152034149,3
385104546,3
536175763,3
881003406,3
831019454,3
601074830,3
831164438,3
434003715,3
148175244,3
152037294,3
191208036,3
434003374,3
535002456,3
547099050,3
799002076,3
831061900,3
434002732,3
583075736,3
598247325,3
602002509,3
658002101,3
831061934,3
433002046,3
831055501,3
406003440,3
536208462,3
598207282,3
215027679,3
406003209,3
536181538,3
650418613,3
703038406,3
831061980,3
908037461,3
908060174,3
547016818,3
547097488,3
650046510,3
831179549,3
602002076,3
650319281,3
823030757,3
831045065,3
152014552,3
602002924,3
650211717,3
831065042,3
191118370,3
831047108,3
214002239,3
257002133,3
385102000,3
599002865,3
601011807,3
602002314,3
650322033,3
831064299,3
831063961,3
831064314,3
831087211,3
198030103,3
225002378,3
385021616,3
434003124,3
547076626,3
601029007,3
697002045,3
698002332,3
703036871,3
831056982,3
148268023,3
152008668,3
385022343,3
406003201,3
535002198,3
602002126,3
602002151,3
831037183,3
831063072,3
831119215,3
434002826,3
535002331,3
536137521,3
547103847,3
640118098,3
640068228,3
831056201,3
831054789,3
831062937,3
434003243,3
601051319,3
831043817,3
831096988,3
831061901,3
831170624,3
831247307,3
191147963,3
385060539,3
535002100,3
599002871,3
831011476,3
385088354,3
434003707,3
598251905,3
703021257,3
295002129,3
385014076,3
535002306,3
831125200,3
831093120,3
831105911,3
658002029,3
536166070,3
121188544,3
148056927,3
148082163,3
152002738,3
191306569,3
434003192,3
598017547,3
650005862,3
831143221,3
831096862,3
831193939,3
831063502,3
881002523,3
385064053,3
435002163,3
547047052,3
601115444,3
823268291,3
831243808,3
908052245,3
152024354,3
215004889,3
510017166,3
596002583,3
598215243,3
831064253,3
831061802,3
152019665,3
152023086,3
225002263,3
598045473,3
908040550,3
547068175,3
658002140,3
831032040,3
178002241,3
191053444,3
583077473,3
152017203,3
536045454,3
698002485,3
908052946,3
225002247,3
831037245,3
831063474,3
152029575,3
547056866,3
792002018,3
602002368,3
703044210,3
303003458,3
703047398,3
476002007,3
191336959,3
225002426,3
385080102,3
385094528,3
598017309,3
658002076,3
831018688,3
121031019,3
148014639,3
225002606,3
303003429,3
385085491,3
536094177,3
598020901,3
703063832,3
831063233,3
831064920,3
908033741,3
191071383,3
385012749,3
547016190,3
601101620,3
908017088,3
385012740,3
823062443,3
831199524,3
831061606,3
215070587,3
522002051,3
583011397,3
599002831,3
831055445,3
908076557,3
148039812,3
434003584,3
598053900,3
698002711,3
831176840,3
881003540,3
905002062,3
225002534,3
908018908,3
596002593,3
703012428,3
596002489,3
831064793,3
599003050,3
385081608,3
658002132,4
831064669,4
434002881,4
596002438,4
908015645,4
831165948,4
121210750,4
225002235,4
225002559,4
385091894,4
658002093,4
831064339,4
658002150,4
225002499,4
881003544,4
406002186,4
583026369,4
856002013,4
601062982,4
406002136,4
831025261,4
198044132,4
434003397,4
831093279,4
535002418,4
831062295,4
601028974,4
270002053,4
225002248,4
602002312,4
658002152,5
